,Data,User,Pesan,Jam,Tanggal
0,1,Fajar Suryo,"Membalas : Jadi pembahasan sy diatas.. pasti di benci oleh org broker...wkwkwk
Emang orang broker ada yang baca pak?
",9:09:33 PM,Saturday March 27 2021
1,2,JimmyRonnyDomestik sell.. panic sell Penyebab runtuhnya ihsg.RonnyFajar OktavariaSABDomestik sell.. panic sell Penyebab runtuhnya ihsg.RonnyJimmy,"Jadi diskusi malam ini, sy harap bisa membuka mata para newbie... utk bijaksana memakai uang utk beli saham. Jangan berharap cuan gede dlm wkt singkat yg akhirnya boncos krn kurangnya ilmu.
Kalo kata-kata orang bijak: misdirection. What your eyes see, and what your mind believes...  
Membalas : Photo
Biasanya jarum keatas ni yg lebih sering gini 🙄🙄. Bob palsu
Membalas : Photo
Iy senin tkt jebol krn rilis lap keu kelek
Membalas : Karena sy baru , maka gak tahu suasana bursa di th sblm 2020.. dimana retail tdk sebanyak skrg. Namun sy prediksi th 2020 ini,
Fee broker di PD/IPOT beli 0,19% + jual 0,29% = 0,48% 🤑🤑
Tema saran hari ini jangan hanya tanamkan pikiran ""seberapa besar reward saya disini"" saja tapi tanamkan juga ""seberapa besar risk dan loss yang saya terima disini""
Membalas : Iy senin tkt jebol krn rilis lap keu kelek
Efek dari lapkeu sih biasanya instan atau bahkan sebelumnya. Ga nunggu sehari setelahnya.
Iy y
Membalas : Broker takut kalo trader semuanya jd investor.. yg beli saham mungkin 1 x per minggu atau 1 x per bulan
Setuju.. sy ga setuju amat broker mau ubah instristik investing..
Membalas : Broker takut kalo trader semuanya jd investor.. yg beli saham mungkin 1 x per minggu atau 1 x per bulan
Broker ga takut karena retail2 ga bakal 1 suara mau rubah ke 1 cara
Membalas : Fee broker di PD/IPOT beli 0,19% + jual 0,29% = 0,48% 🤑🤑
Kalo uda gede (di atas 5M kira-kira), bisa nego jauh Pak. Bisa ke 0.0x/0.1x.",,Saturday March 27 2021
2,3,"AviantoMariozAviantoApt, Yulianto Wijaya S Farm, RTA (FRED)CortezJimmy","Membalas : Kalo istilah bandar itu awalnya ada krn apa yah ? Banyak trader merasa bhw harga saham di gerakan bandar. Jadi seolah2 bandar
Bandar itu kalo boleh dibilang adalah orang atau institusi bermodal besar. Mengapa ngikutin bandar, ya karena kalo ada dana besar masuk/keluar otomatis akan menggerakan harga. Kenapa pergerakan harga penting? Ya karena namanya trading kan cuan dari selisih harga beli vs jual. Kalo mau yang lebih ""murni"" tanpa bandar ya baiknya main forex, atau gold, atau crypto. Lebih susah dikendalikan segelintir orang karena market capnya terlalu besar. Atau minimal di stock market yang skala besar sekali, seperti DowJones. Kalo di sekelas IHSG, keluar masuk orde eMber aja di luar saham LQ45 sudah sangat mencolok...  
Ini adalah foto
Membalas : Photo
Haha tp jarang   
Karena sy baru , maka gak tahu suasana bursa di th sblm 2020.. dimana retail tdk sebanyak skrg. 

Namun sy prediksi th 2020 ini, bandar dan broker cuan banyak krn ada dana segar masuk dr retail baru ini. Apalagi kebanyakan retail itu trading..(odt, scalping, swing),  jadi  fee broker jelas meningkat tajam, Top 3 Broker aja , masing2 bisa  Rp. 20 - 30 Trilyun/bulan. Coba di kalikan fee 0.15%... udh 30 - 45 Milyar/bulan... 

Makanya broker seneng kalo retail banyak yg odt....he he he.
Jadi pembahasan sy diatas.. pasti di benci oleh org broker...wkwkwk
Membalas : Karena sy baru , maka gak tahu suasana bursa di th sblm 2020.. dimana retail tdk sebanyak skrg. Namun sy prediksi th 2020 ini,
Tak pikir om avi udh lama di bursa 🤣
Broker takut kalo trader semuanya jd investor.. yg beli saham mungkin 1 x per minggu atau 1 x per bulan
Membalas : Tak pikir om avi udh lama di bursa 🤣
He he he... angkatan corona sy. 

Tapi sering prihatin, kalo denger teman2 newbie yg sering CL",8:29:34 PM,Saturday March 27 2021
3,4,Charles Prop,"Membalas : Tahun lalu sempat bersyukur, ktk penurunan IHSG mulai banyak ditopang Lokal.. Tapi melihat irama permainan BD lokal yg cenderu
betul pak, asing mainnya halus. news pun ga sekasar bd lokal ugal2annya.. ada berita dikit lsng ara berita dikit ara lagi.. asing lebih liat fundamental ketimbang news",8:26:46 PM,Saturday March 27 2021
4,5,Agus Wj,"Membalas : bandar itu ada pak. cuma bandar itu ada fungsinya, membuat barang menjadi langka/ akumulasi, membuat barang menjadi banyak / dis
Tahun lalu sempat bersyukur, ktk penurunan IHSG mulai banyak ditopang Lokal.. 

Tapi melihat irama permainan BD lokal yg cenderung kasar, mungkin Better di setir Asing lagi Indeks kita 

Ini scr overall saja klo sudut pandang saya..",8:25:59 PM,Saturday March 27 2021
5,6,Charles Prop,"Membalas : Retail sadis mah yg sering bilang ""salam profit rekan rekan""  
   dia salah satu retail gendut, makanya kenapa habis beli ikut dia saham lsng ambrol? karena dia retail ga punya kewajiban untuk jaga harga juga. abis beli lsng jual.
",8:18:48 PM,Saturday March 27 2021
6,7,Naufal AmmarCharles Prop,"Membalas : Kalo istilah bandar itu awalnya ada krn apa yah ? Banyak trader merasa bhw harga saham di gerakan bandar. Jadi seolah2 bandar
bandar itu ada pak. cuma bandar itu ada fungsinya, membuat barang menjadi langka/ akumulasi, membuat barang menjadi banyak / distribusi. jadi mau naikin saham/turunin saham ya bandar paling punya peran besar. bandar juga harus jaga harga. apalagi supirnya kalau asing. lihat antm semenjak masuk msci dan sebelum. keliatan lebih sopan kan naik turunnya

retail bisa gerakin saham ga? bisa. retail2 gendut di MG YB AK itu paling sering gerakin saham, tapi apa bertahan lama? nda. itu aja bedanya
Membalas : bandar itu ada pak. cuma bandar itu ada fungsinya, membuat barang menjadi langka/ akumulasi, membuat barang menjadi banyak / dis
Retail sadis mah yg sering bilang ""salam profit rekan rekan""  ",8:16:24 PM,Saturday March 27 2021
7,8,Satimin Sejati,"Membalas : Lebih tepat sebenarnya konsep avg down adalah beli mencicil di satu emiten yg sama. Setelah selesai (mencicil sistem piramida, c
Sepakat. Beli cicil. 
Jadi yang dianjurkan dalam avg down adalah jika tradingnya sudah direncanakan (area entry-exit sdh ditentukan).",8:16:08 PM,Saturday March 27 2021
8,9,Hatsuko,"Membalas : Sependek amatan saya avg down itu boleh dg pertimbangan2: 1. Sahamnya memang liquid 2. Mengenali S&R dg cermat 3. Penggunaan dan
Lebih tepat sebenarnya konsep avg down adalah beli mencicil di satu emiten yg sama. Setelah selesai (mencicil sistem piramida, cicil 2,3,4 kali, dengan alokasi misal 20% total porto) tapi harganya lalu tetap turun 6% dari avg, cutloss. Kalau yg pembelian sekaligus (juga alokasi 20% porto) dan harganya turun juga 6% cutloss. Jadi konsepnya tetap disiplin cutloss saja dari alokasi 20% porto kalau harga turun 6%. Incar lagi saham yg sama setelah trend nya jadi bullish atau cari saham lain.  ",8:13:26 PM,Saturday March 27 2021
9,10,panjianom,"Membalas : Insya Allah TA yg itu bilang kita ke 8000an kok 🤞
Ihsg ya pak? Kalo itu saya belum sempat cek lagi. Lgi ada mainan baru  ",8:11:34 PM,Saturday March 27 2021
