,User,Pesan,Jam,Tanggal
0,Hendro Masori,Mantap. Mas Jutha emang jempolan kok. Seneng beliau ada di sini,10:18:49 PM,"Tuesday, March 23, 2021"
1,Hendro Masori,Client saya consumer good udah mulai belanja research. Belum balik seperti pandemi sih. Tapi dikit lagi lah.,6:19:52 PM,"Tuesday, March 23, 2021"
2,Hendro Masori,"Btw sekedar sharing. Saya di bisnis jasa marketing research di bulan Maret ini mulai merasakan peningkatan sales secara significant.

Bisnis saya ini saat ada pandemi sebangsa Covid19 pasti kena dampak yg pertama dan pulih yg terakhir. Karena perusahaan kalau mau hemat yg pertama dipotong adalah dana research dulu. Kalau udah mulai pulih ya dana reaearch yg terakhir dibelanjakan.

Poin saya adalah semoga ini tanda2 ekonomi mulai pulih. Kalau perusahaan2 sudah mulai belanja research berarti mereka sudah mulai reversal.

Semoga berlanjut terus pemulihan ekonomi Indonesia. Aamiiiiiin....",6:17:45 PM,"Tuesday, March 23, 2021"
3,Hendro Masori,Kurang pol pol an berarti. :stuck_out_tongue_winking_eye:,4:18:43 PM,"Tuesday, March 23, 2021"
4,Hendro Masori,Trio saham saya masih bertahan. Same ssms lppf...,2:55:05 PM,"Tuesday, March 23, 2021"
5,Hendro Masori,Udahlah jangan coba2 buat membual disini,10:08:50 PM,"Monday, March 22, 2021"
6,Hendro Masori,Masaaaaa,10:07:31 PM,"Monday, March 22, 2021"
7,Hendro Masori,Jejak digital memang berat,10:05:26 PM,"Monday, March 22, 2021"
8,Hendro Masori,Lha ya itu namanya takut Pak. Hihihi,9:58:55 PM,"Monday, March 22, 2021"
9,Hendro Masori,Demi refreshing ke Bali sih kalau saya rela hidung saya diobok obok,9:56:47 PM,"Monday, March 22, 2021"
10,Hendro Masori,"Saya setuju. Kadang kesalahan kita menganggap pemilik perusahaan jadi traders seperti kita.

Coba liat BDMN. MUFG akuisisi di harga 9500 an. Kalau pake patokan ini, sekarang di 3000 an murah banget dong. Beli di bawah pemilik perusahaan lho. Kenapa gak berani?

Karena MUFG bukan traders kek kita. :grin::grin::grin:",9:19:33 PM,"Monday, March 22, 2021"
11,Hauw,Ga ngerti catur sama sekali tapi ada yg blg blunder dewa kipas game 1 parah banget,4:53:53 PM,"Monday, March 22, 2021"
12,Hendro Masori,Saya baca berita CRV sama Pajero dapet kok..,5:18:45 PM,"Sunday, March 21, 2021"
13,Michael Yeoh,Asri okee,2:13:43 PM,"Sunday, March 21, 2021"
14,Hendro Masori,Bukannya PGAS?,10:41:23 PM,"Saturday, March 20, 2021"
15,Hendro Masori,"Saya pernah cerita dulu disini. Kata temen2 saya kalau ada lomba mirip Broery saya juara pertama....

Broery juara kedua...

:runner:♂:runner:♂:runner:♂",10:37:39 PM,"Saturday, March 20, 2021"
16,Hendro Masori,Dulu jaman saya SD finalnya pasti Anatoly Karpov,10:24:43 PM,"Thursday, March 18, 2021"
17,Hendro Masori,Trus Irene ngapain. Buktiin apa?,10:20:22 PM,"Thursday, March 18, 2021"
18,Hendro Masori,Artinya cuan saya masih bisa lebih banyaaaaaaaak,6:43:19 PM,"Thursday, March 18, 2021"
19,Hendro Masori,Asek SAME akhirnya lemes juga,2:50:03 PM,"Thursday, March 18, 2021"
20,Hendro Masori,Bapak jual nanti jadi enteng kok,11:24:37 AM,"Thursday, March 18, 2021"
