endpoint,limit,remaining,reset,resource
/account/settings,15,15,2018-10-09 06:08:01,account
/account/verify_credentials,75,75,2018-10-09 06:08:01,account
/account/update_profile,15,15,2018-10-09 06:08:01,account
/account/login_verification_enrollment,15,15,2018-10-09 06:08:01,account
/account_activity/direct_messages/:instance_name/webhooks,15,15,2018-10-09 06:08:01,account_activity
/account_activity/direct_messages/webhooks,15,15,2018-10-09 06:08:01,account_activity
/account_activity/all/:instance_name/subscriptions,15,15,2018-10-09 06:08:01,account_activity
/account_activity/all/webhooks,15,15,2018-10-09 06:08:01,account_activity
/account_activity/webhooks/:id/subscriptions/direct_messages/list,15,15,2018-10-09 06:08:01,account_activity
/account_activity/webhooks/:id/subscriptions/direct_messages,500,500,2018-10-09 06:08:01,account_activity
/account_activity/webhooks,15,15,2018-10-09 06:08:01,account_activity
/account_activity/webhooks/:id/subscriptions/all/list,15,15,2018-10-09 06:08:01,account_activity
/account_activity/direct_messages/:instance_name/subscriptions,15,15,2018-10-09 06:08:01,account_activity
/account_activity/webhooks/:id/subscriptions,500,500,2018-10-09 06:08:01,account_activity
/account_activity/all/:instance_name/webhooks,15,15,2018-10-09 06:08:01,account_activity
/account_activity/webhooks/:id/subscriptions/all,500,500,2018-10-09 06:08:01,account_activity
/application/rate_limit_status,180,179,2018-10-09 06:08:01,application
/auth/csrf_token,15,15,2018-10-09 06:08:01,auth
/blocks/list,15,15,2018-10-09 06:08:01,blocks
/blocks/ids,15,15,2018-10-09 06:08:01,blocks
/business_experience/dashboard_settings/update,450,450,2018-10-09 06:08:01,business_experience
/business_experience/keywords,450,450,2018-10-09 06:08:01,business_experience
/business_experience/dashboard_features,450,450,2018-10-09 06:08:01,business_experience
/business_experience/dashboard_settings/destroy,450,450,2018-10-09 06:08:01,business_experience
/business_experience/dashboard_settings/show,450,450,2018-10-09 06:08:01,business_experience
/collections/list,1000,1000,2018-10-09 06:08:01,collections
/collections/show,1000,1000,2018-10-09 06:08:01,collections
/collections/entries,1000,1000,2018-10-09 06:08:01,collections
/contacts/uploaded_by,300,300,2018-10-09 06:08:01,contacts
/contacts/delete/status,300,300,2018-10-09 06:08:01,contacts
/contacts/users_and_uploaded_by,300,300,2018-10-09 06:08:01,contacts
/contacts/users,300,300,2018-10-09 06:08:01,contacts
/contacts/addressbook,300,300,2018-10-09 06:08:01,contacts
/custom_profiles/show,180,180,2018-10-09 06:08:01,custom_profiles
/custom_profiles/list,180,180,2018-10-09 06:08:01,custom_profiles
/device/token,15,15,2018-10-09 06:08:01,device
/direct_messages/subscribers/show,180,180,2018-10-09 06:08:01,direct_messages
/direct_messages/subscribers/lists/members/ids,180,180,2018-10-09 06:08:01,direct_messages
/direct_messages/broadcasts/statuses/list,60,60,2018-10-09 06:08:01,direct_messages
/direct_messages/sent_and_received,300,300,2018-10-09 06:08:01,direct_messages
/direct_messages/subscribers/ids,180,180,2018-10-09 06:08:01,direct_messages
/direct_messages/mark_read,1000,1000,2018-10-09 06:08:01,direct_messages
/direct_messages/subscribers/lists/members/show,1000,1000,2018-10-09 06:08:01,direct_messages
/direct_messages,300,300,2018-10-09 06:08:01,direct_messages
/direct_messages/broadcasts/show,60,60,2018-10-09 06:08:01,direct_messages
/direct_messages/broadcasts/list,60,60,2018-10-09 06:08:01,direct_messages
/direct_messages/subscribers/lists/list,180,180,2018-10-09 06:08:01,direct_messages
/direct_messages/show,300,300,2018-10-09 06:08:01,direct_messages
/direct_messages/events/list,15,15,2018-10-09 06:08:01,direct_messages
/direct_messages/subscribers/lists/show,180,180,2018-10-09 06:08:01,direct_messages
/direct_messages/events/show,15,15,2018-10-09 06:08:01,direct_messages
/direct_messages/broadcasts/statuses/show,60,60,2018-10-09 06:08:01,direct_messages
/direct_messages/sent,300,300,2018-10-09 06:08:01,direct_messages
/drafts/statuses/destroy,450,450,2018-10-09 06:08:01,drafts
/drafts/statuses/ids,450,450,2018-10-09 06:08:01,drafts
/drafts/statuses/list,450,450,2018-10-09 06:08:01,drafts
/drafts/statuses/show,450,450,2018-10-09 06:08:01,drafts
/drafts/statuses/create,450,450,2018-10-09 06:08:01,drafts
/drafts/statuses/update,450,450,2018-10-09 06:08:01,drafts
/favorites/list,75,75,2018-10-09 06:08:01,favorites
/feedback/events,1000,1000,2018-10-09 06:08:01,feedback
/feedback/show/:id,180,180,2018-10-09 06:08:01,feedback
/followers/list,15,15,2018-10-09 06:08:01,followers
/followers/ids,15,15,2018-10-09 06:08:01,followers
/friends/ids,15,15,2018-10-09 06:08:01,friends
/friends/list,15,15,2018-10-09 06:08:01,friends
/friends/following/list,15,15,2018-10-09 06:08:01,friends
/friends/following/ids,15,15,2018-10-09 06:08:01,friends
/friendships/list,200,200,2018-10-09 06:08:01,friendships
/friendships/no_retweets/ids,15,15,2018-10-09 06:08:01,friendships
/friendships/lookup,15,15,2018-10-09 06:08:01,friendships
/friendships/incoming,15,15,2018-10-09 06:08:01,friendships
/friendships/show,180,180,2018-10-09 06:08:01,friendships
/friendships/outgoing,15,15,2018-10-09 06:08:01,friendships
/geo/search,15,15,2018-10-09 06:08:01,geo
/geo/reverse_geocode,15,15,2018-10-09 06:08:01,geo
/geo/similar_places,15,15,2018-10-09 06:08:01,geo
/geo/id/:place_id,75,75,2018-10-09 06:08:01,geo
/graphql&POST,500,500,2018-10-09 06:08:01,graphql&POST
/guide,180,180,2018-10-09 06:08:01,guide
/help/languages,15,14,2018-10-09 05:59:52,help
/help/privacy,15,15,2018-10-09 06:08:01,help
/help/configuration,15,15,2018-10-09 06:08:01,help
/help/tos,15,15,2018-10-09 06:08:01,help
/help/settings,15,15,2018-10-09 06:08:01,help
/i/config,15,15,2018-10-09 06:08:01,i
/lists/list,15,15,2018-10-09 06:08:01,lists
/lists/subscribers,180,180,2018-10-09 06:08:01,lists
/lists/statuses,900,900,2018-10-09 06:08:01,lists
/lists/ownerships,15,15,2018-10-09 06:08:01,lists
/lists/show,75,75,2018-10-09 06:08:01,lists
/lists/subscriptions,15,15,2018-10-09 06:08:01,lists
/lists/members,900,900,2018-10-09 06:08:01,lists
/lists/subscribers/show,15,15,2018-10-09 06:08:01,lists
/lists/memberships,75,75,2018-10-09 05:59:37,lists
/lists/members/show,15,15,2018-10-09 06:08:01,lists
/live_pipeline/events,180,180,2018-10-09 06:08:01,live_pipeline
/live_video_stream/status/:id,1000,1000,2018-10-09 06:08:01,live_video_stream
/media/subtitles/create,150,150,2018-10-09 06:08:01,media
/media/upload,500,500,2018-10-09 06:08:01,media
/media/subtitles/delete,150,150,2018-10-09 06:08:01,media
/moments/permissions,300,300,2018-10-09 06:08:01,moments
/moments/statuses/update,5,5,2018-10-09 06:08:01,moments
/mutes/users/list,15,15,2018-10-09 06:08:01,mutes
/mutes/users/ids,15,15,2018-10-09 06:08:01,mutes
/oauth/invalidate_token,450,450,2018-10-09 06:08:01,oauth
/safety/detection_feedback,1000,1000,2018-10-09 06:08:01,safety
/sandbox/account_activity/webhooks/:id/subscriptions,500,500,2018-10-09 06:08:01,sandbox
/saved_searches/show/:id,15,15,2018-10-09 06:08:01,saved_searches
/saved_searches/destroy/:id,15,15,2018-10-09 06:08:01,saved_searches
/saved_searches/list,15,15,2018-10-09 06:08:01,saved_searches
/search/tweets,180,180,2018-10-09 06:08:01,search
/statuses/mentions_timeline,75,75,2018-10-09 06:08:01,statuses
/statuses/oembed,180,180,2018-10-09 06:08:01,statuses
/statuses/retweeters/ids,75,75,2018-10-09 06:08:01,statuses
/statuses/retweets_of_me,75,75,2018-10-09 06:08:01,statuses
/statuses/home_timeline,15,15,2018-10-09 06:08:01,statuses
/statuses/show/:id,900,900,2018-10-09 06:08:01,statuses
/statuses/user_timeline,900,900,2018-10-09 06:08:01,statuses
/statuses/friends,15,15,2018-10-09 06:08:01,statuses
/statuses/lookup,900,900,2018-10-09 06:08:01,statuses
/statuses/retweets/:id,75,75,2018-10-09 06:08:01,statuses
/traffic/map,15,15,2018-10-09 06:08:01,traffic
/trends/closest,75,75,2018-10-09 06:08:01,trends
/trends/available,75,75,2018-10-09 06:08:01,trends
/trends/place,75,75,2018-10-09 06:08:01,trends
/tweet_prompts/show,180,180,2018-10-09 06:08:01,tweet_prompts
/tweet_prompts/report_interaction,180,180,2018-10-09 06:08:01,tweet_prompts
/tweets/stream/filter/rules/:instance_name&POST,450,450,2018-10-09 06:08:01,tweets
/tweets/stream/filter/rules,450,450,2018-10-09 06:08:01,tweets
/tweets/stream/filter/:instance_name,50,50,2018-10-09 06:08:01,tweets
/tweets/search/:product/:label,1800,1800,2018-10-09 06:08:01,tweets
/tweets/search/:product/:instance/counts,900,900,2018-10-09 06:08:01,tweets
/tweets/stream/filter/rules/:instance_name/validation&POST,450,450,2018-10-09 06:08:01,tweets
/tweets/stream/filter/rules/:instance_name/:rule_id,450,450,2018-10-09 06:08:01,tweets
/tweets/stream/filter/rules/:instance_name&DELETE,450,450,2018-10-09 06:08:01,tweets
/users/suggestions,15,15,2018-10-09 06:08:01,users
/users/lookup,900,900,2018-10-09 06:08:01,users
/users/suggestions/:slug/members,15,15,2018-10-09 06:08:01,users
/users/show/:id,900,900,2018-10-09 06:08:01,users
/users/profile_banner,180,180,2018-10-09 06:08:01,users
/users/derived_info,15,15,2018-10-09 06:08:01,users
/users/contributees/pending,200,200,2018-10-09 06:08:01,users
/users/suggestions/:slug,15,15,2018-10-09 06:08:01,users
/users/search,900,900,2018-10-09 06:08:01,users
/users/report_spam,15,15,2018-10-09 06:08:01,users
/users/contributors/pending,2000,2000,2018-10-09 06:08:01,users
/webhooks/subscriptions/direct_messages,15,15,2018-10-09 06:08:01,webhooks
/webhooks,15,15,2018-10-09 06:08:01,webhooks
