name,promoted_content,query,tweet_volume,url,location,woeid,time
#MondayMotivation,,%23MondayMotivation,288465.0,http://twitter.com/search?q=%23MondayMotivation,Barcelona,753692,2018-10-09 05:48:17
Fernando Albán,,%22Fernando+Alb%C3%A1n%22,287209.0,http://twitter.com/search?q=%22Fernando+Alb%C3%A1n%22,Barcelona,753692,2018-10-09 05:48:17
Élite,,%C3%89lite,130242.0,http://twitter.com/search?q=%C3%89lite,Barcelona,753692,2018-10-09 05:48:17
Google+,,Google%2B,106837.0,http://twitter.com/search?q=Google%2B,Barcelona,753692,2018-10-09 05:48:17
Vistalegre,,Vistalegre,81724.0,http://twitter.com/search?q=Vistalegre,Barcelona,753692,2018-10-09 05:48:17
#ballondor,,%23ballondor,80429.0,http://twitter.com/search?q=%23ballondor,Barcelona,753692,2018-10-09 05:48:17
Hazard,,Hazard,62380.0,http://twitter.com/search?q=Hazard,Barcelona,753692,2018-10-09 05:48:17
#DoctorWho,,%23DoctorWho,45458.0,http://twitter.com/search?q=%23DoctorWho,Barcelona,753692,2018-10-09 05:48:17
#TheWalkingDead,,%23TheWalkingDead,31224.0,http://twitter.com/search?q=%23TheWalkingDead,Barcelona,753692,2018-10-09 05:48:17
#TCMS3,,%23TCMS3,28029.0,http://twitter.com/search?q=%23TCMS3,Barcelona,753692,2018-10-09 05:48:17
Nobel de Economía,,%22Nobel+de+Econom%C3%ADa%22,25980.0,http://twitter.com/search?q=%22Nobel+de+Econom%C3%ADa%22,Barcelona,753692,2018-10-09 05:48:17
#PcComponentesNvidia,,%23PcComponentesNvidia,21167.0,http://twitter.com/search?q=%23PcComponentesNvidia,Barcelona,753692,2018-10-09 05:48:17
Vela,,Vela,21015.0,http://twitter.com/search?q=Vela,Barcelona,753692,2018-10-09 05:48:17
Sporting,,Sporting,20046.0,http://twitter.com/search?q=Sporting,Barcelona,753692,2018-10-09 05:48:17
Balón de Oro,,%22Bal%C3%B3n+de+Oro%22,20042.0,http://twitter.com/search?q=%22Bal%C3%B3n+de+Oro%22,Barcelona,753692,2018-10-09 05:48:17
Coque Malla,,%22Coque+Malla%22,19442.0,http://twitter.com/search?q=%22Coque+Malla%22,Barcelona,753692,2018-10-09 05:48:17
