,User,Pesan,Jam,Tanggal
0,ericko L,mancing pak 20% porto:joy::joy::joy:,11:45:02 PM,"Tuesday, March 23, 2021"
1,Rui :rocket::rocket::rocket: Sales SAME,Itu di grup yang dicoba membernya seberapa banyak pak? Jadi penasaran juga,11:27:31 PM,"Tuesday, March 23, 2021"
2,Hendro Masori,Owner/admin yg start. Nanti semua member bisa join,11:22:14 PM,"Tuesday, March 23, 2021"
3,Hendro Masori,Nanti kita coba ya. Biar rame tunggu IHSG halt dulu. Biar banyak yg join. :runner:♂:runner:♂:runner:♂,11:21:22 PM,"Tuesday, March 23, 2021"
4,Fajar Oktavaria,sepertinya iya yang ada cap bintangnya aja yang bisa,11:20:47 PM,"Tuesday, March 23, 2021"
5,Fajar Oktavaria,"makanya nyanyi/main gitarnya sambil analisa, win win solution ini :grin::grin:",11:18:56 PM,"Tuesday, March 23, 2021"
6,Hendro Masori,Saya pengin nyobain voice chat di grup,11:16:32 PM,"Tuesday, March 23, 2021"
7,Hendro Masori,Wkwkwkwkw,11:16:03 PM,"Tuesday, March 23, 2021"
8,Hendro Masori,Saya mau bikin rekaman maen gitar takut ngetop kayak Mas Alip. :runner:♂:runner:♂:runner:♂,11:12:09 PM,"Tuesday, March 23, 2021"
9,Rui :rocket::rocket::rocket: Sales SAME,"Langsung ganti nama dia ... dari Dimas A jadi Bagus P ... tujuannya apa? 🙄 

Pakai bawa2 Koh Billy segala ... orang saya belum lama ini bahas SAME DM sama Koh Billy juga ... 

Benhan wah Pak Alip saya ngefans pak, itu skill gitarnya alamaaak .... yang dia maen gitar sambil maen suling jg lagu Titanic ... :clap:🏽:clap:🏽",11:10:57 PM,"Tuesday, March 23, 2021"
10,Yustinus broker asuransi mobil raw n1153 n1155,Dan kl turun 7% bisa dipastikan arb ya,11:08:25 PM,"Tuesday, March 23, 2021"
11,hery,jagoannya PAMG :stuck_out_tongue_closed_eyes:,11:07:32 PM,"Tuesday, March 23, 2021"
12,Fajar Oktavaria,"semoga aja gak pensiun, jika memang pensiun bukan karna force sell atau margin",11:06:17 PM,"Tuesday, March 23, 2021"
13,Hendro Masori,Gak ada,11:05:08 PM,"Tuesday, March 23, 2021"
14,Aho Lie,Cocok ghosting:grinning::grinning:,11:05:06 PM,"Tuesday, March 23, 2021"
15,Faliq H,"Iya masih aktif pak, minggu kemarin ngobrol. Tapi saya ga nanyain masih di saham apa enggak :grimacing:",11:04:43 PM,"Tuesday, March 23, 2021"
16,Fajar Oktavaria,masih aktif kah telenya mas izzy ?? 🧐,11:03:26 PM,"Tuesday, March 23, 2021"
17,Hendro Masori,Khan Pak Carik nanya yg dulu,11:02:44 PM,"Tuesday, March 23, 2021"
18,Hendro Masori,Sekarang banyak ya? :grin:,11:01:55 PM,"Tuesday, March 23, 2021"
19,Faliq H,"Terakhir chat saya ngajakin main bola bareng, tapi hbs itu ga dibales lg chat saya, hiks :neutral_face:",11:01:53 PM,"Tuesday, March 23, 2021"
20,Iceman29,:sweat_smile:. Hny menjawab Oom.,11:01:52 PM,"Tuesday, March 23, 2021"
21,Oki Oce,"Cantik kyk pramugari, GIAA berarti",11:01:26 PM,"Tuesday, March 23, 2021"
22,Fajar Oktavaria,"setelah disebut, saya baru ngeh mas izzy ga keliatan lagi",11:01:20 PM,"Tuesday, March 23, 2021"
23,Iceman29,PYFA logonya ungu,11:00:51 PM,"Tuesday, March 23, 2021"
24,AAN,Besok menghadap KBAG KEUANGAN mau dinaikkan gajinya 🤣,10:58:48 PM,"Tuesday, March 23, 2021"
25,Agus,Ini td pak dimas sekarang jd bagus p..:joy::joy:,10:58:26 PM,"Tuesday, March 23, 2021"
26,Fajar Oktavaria,"satu strip, angka merah
eh maaf itu porto kita
ini curhat kok bukan pantun :runner:♂:runner:♂",10:58:25 PM,"Tuesday, March 23, 2021"
27,Arik Indra,Wows soalnya dia waw bgt..🤣,10:57:31 PM,"Tuesday, March 23, 2021"
28,Fadli,assa/fren?,10:57:05 PM,"Tuesday, March 23, 2021"
29,Aho Lie,"Dua itik ,Satu merah
Klo cantik pasti udah ada yg punya:pray::pray:",10:56:57 PM,"Tuesday, March 23, 2021"
