,User,Pesan,Jam,Tanggal
0,rigeladitya,Padahal SWF itu ga cuma konstruksi. BRIS juga dapat dana dari SWF.,11:45:37 PM,"Tuesday, March 23, 2021"
1,hery,kasihan naik terus. istirahat dulu,10:52:19 PM,"Tuesday, March 23, 2021"
2,hery,"eitsss.. sudah selesailah, masa mau sampai tengah malam :sweat_smile::sweat_smile:",10:41:51 PM,"Tuesday, March 23, 2021"
3,Hendro Masori,Mantap. Mas Jutha emang jempolan kok. Seneng beliau ada di sini,10:18:49 PM,"Tuesday, March 23, 2021"
4,Severinus Utomo,Tampaknya dari grup sucor gabung pak karena banyak yang ngefans dengan bapak @JuthaBram,10:07:10 PM,"Tuesday, March 23, 2021"
5,Hendro Masori,Bentar lagi 17 rb,10:06:14 PM,"Tuesday, March 23, 2021"
6,Erry Suswandi,Rombongan penumpang same pak HM...:grin:,10:05:44 PM,"Tuesday, March 23, 2021"
7,Jutha Bram,5 april pak baru enak dan aman utk ride bullish market nya lg...,9:38:42 PM,"Tuesday, March 23, 2021"
8,Severinus Utomo,Kuatlah mari kita lihat,9:30:20 PM,"Tuesday, March 23, 2021"
9,Kaanz✓,Aminn doa in baik aja,9:28:14 PM,"Tuesday, March 23, 2021"
10,Hen,AMIN :pray:,9:18:18 PM,"Tuesday, March 23, 2021"
11,Nana Paramita,Nambah lagi bacaan malem ini @RuiAuxilia :grin:,9:18:08 PM,"Tuesday, March 23, 2021"
12,Paw Paw,turun dulu lah coal biar enak yg mau cocol,9:16:13 PM,"Tuesday, March 23, 2021"
13,Puspita Wardani,Batal pesta coal :joy:,9:15:30 PM,"Tuesday, March 23, 2021"
14,Faliq H,"Mantap pak nathan, INDY turun dulu yuks",9:11:14 PM,"Tuesday, March 23, 2021"
15,apieth,"Misal smpai akhir maret ga reach 6182, april tetep bs bull ga pak?",9:02:23 PM,"Tuesday, March 23, 2021"
16,Rui,"Wah benar, yang staggering stop itu ya ... biar intinya average lossnya nilainya masuk dalam risk tolerance ... thank you remindernya kak :pray:🏽:smile: 

Kebiasaan CL all-in soalnya hahaha patut diuji coba ni",8:51:23 PM,"Tuesday, March 23, 2021"
17,Supriyanto,UNIQ,8:49:37 PM,"Tuesday, March 23, 2021"
18,Chai Lie,Bandar same itu,8:49:15 PM,"Tuesday, March 23, 2021"
19,Kaanz✓,Itu antri mau masuk SAME kak:joy:,8:48:29 PM,"Tuesday, March 23, 2021"
20,Meneer Greg,Sudah joggingnya pak Carik? @luckv02,7:45:45 PM,"Tuesday, March 23, 2021"
21,Hotmanahan Simanungkalit,Amin...pak de,7:40:32 PM,"Tuesday, March 23, 2021"
