,User,Pesan,Jam,Tanggal
0,Hendro Masori,Buset masih pada melek,12:41:25 AM,"Tuesday, March 23, 2021"
1,Hendro Masori,Mantap. Mas Jutha emang jempolan kok. Seneng beliau ada di sini,10:18:49 PM,"Tuesday, March 23, 2021"
2,Hendro Masori,Bentar lagi 17 rb,10:06:14 PM,"Tuesday, March 23, 2021"
3,Faliq H,"Mantap pak nathan, INDY turun dulu yuks",9:11:14 PM,"Tuesday, March 23, 2021"
4,Hendro Masori,Client saya consumer good udah mulai belanja research. Belum balik seperti pandemi sih. Tapi dikit lagi lah.,6:19:52 PM,"Tuesday, March 23, 2021"
5,Hendro Masori,"Btw sekedar sharing. Saya di bisnis jasa marketing research di bulan Maret ini mulai merasakan peningkatan sales secara significant.

Bisnis saya ini saat ada pandemi sebangsa Covid19 pasti kena dampak yg pertama dan pulih yg terakhir. Karena perusahaan kalau mau hemat yg pertama dipotong adalah dana research dulu. Kalau udah mulai pulih ya dana reaearch yg terakhir dibelanjakan.

Poin saya adalah semoga ini tanda2 ekonomi mulai pulih. Kalau perusahaan2 sudah mulai belanja research berarti mereka sudah mulai reversal.

Semoga berlanjut terus pemulihan ekonomi Indonesia. Aamiiiiiin....",6:17:45 PM,"Tuesday, March 23, 2021"
6,Hendro Masori,Ci Rui material direktur Pak. :grin:,6:13:03 PM,"Tuesday, March 23, 2021"
7,Hendro Masori,Kurang pol pol an berarti. :stuck_out_tongue_winking_eye:,4:18:43 PM,"Tuesday, March 23, 2021"
8,rigeladitya,"Beberapa saham ga gerak bahkan malah ijo... ANTM itu loh, ga terpengaruh sama indeks. Ritelnya udah habis kali ya?",2:56:53 PM,"Tuesday, March 23, 2021"
9,Hendro Masori,Trio saham saya masih bertahan. Same ssms lppf...,2:55:05 PM,"Tuesday, March 23, 2021"
10,Kaanz✓,"Bakal kek gimana🤣, BBCA sebagai sektor defensif ihsg akan tumbang kah:see_no_evil:",2:54:15 PM,"Tuesday, March 23, 2021"
11,Hendro Masori,"Kadang trading saham itu kayak maen layang2. Ada saat dimana mata merah, tenggorokan kering, muka pucat, hidung meler, bibir pecah pecah... :grin:",2:54:09 PM,"Tuesday, March 23, 2021"
12,Fakhri Arsyan,Chartnya bbca cukup menggambarkan sih buat ihsg,2:53:04 PM,"Tuesday, March 23, 2021"
13,Kaanz✓,"Masih kuat, PTBA juga masih tertahan di atas suportnya",2:47:44 PM,"Tuesday, March 23, 2021"
14,"Apt, Yulianto Wijaya S Farm, RTA (FRED)",BBCA ternyata terdeteksi pattern rising wedge dan dicurigai ada head n shoulder dg titik penting 33 rb...break dan bertahan dibawah 33 rb akan menuju ke 30900/ medium ke target pattern HnS di 29500-29700...long term ke 27650-28000 (nutup gap),2:42:08 PM,"Tuesday, March 23, 2021"
15,Erich,in bbca we trusts? :see_no_evil::see_no_evil:,2:13:58 PM,"Tuesday, March 23, 2021"
16,Reny,Thn ini SSMS bagi dividen..utk besarannya menunggu RUPS krn laba mereka di 2020 mencapai 400M,1:54:33 PM,"Tuesday, March 23, 2021"
17,Aho Lie,Klo gak salah bbni blm bagi deviden klo bagi hrsnya ke 6500 ssmpi 6700:pray::pray:,1:49:19 PM,"Tuesday, March 23, 2021"
18,Aho Lie,Saya dulu serg saham lq 45 termsk bank bbri bmri:pray::pray:,1:47:23 PM,"Tuesday, March 23, 2021"
19,𝖋𝖗𝖎𝖊𝖓𝖉𝖞 𝖆𝖏𝖎,BBCA 33K,1:44:54 PM,"Tuesday, March 23, 2021"
20,Aho Lie,Beli diberp klo bbri gak usah takut:pray::pray:,1:43:33 PM,"Tuesday, March 23, 2021"
21,Andre Salim,tembok berlin BBCA 33k,1:43:15 PM,"Tuesday, March 23, 2021"
22,Chai Lie,"Bmri hari ini cumdate tapi harganya gak gerak2, disitu2 aja, knp ya?",1:40:33 PM,"Tuesday, March 23, 2021"
23,Romi Prayudi,smg bumn karya lainnya sama ya pak. sy adanya PTPP soalnya :joy::joy:,1:13:52 PM,"Tuesday, March 23, 2021"
24,Denny Wang,Tq pak Jutha..  ak nyangkut wskt dari mid januari 1900an,1:13:29 PM,"Tuesday, March 23, 2021"
25,Denny Wang,"Wskt gimana pak jutha?  Skrg 1390. Nyangkut parah

@JuthaBram",12:40:05 PM,"Tuesday, March 23, 2021"
26,Bved VX,Guys apakah bbca tahan di support 33rb nya?,12:25:54 PM,"Tuesday, March 23, 2021"
27,Jose,indf udah otw 7000 om,11:03:22 AM,"Tuesday, March 23, 2021"
28,Johny Tanumihardja,"Berikut ini adalah saham-saham yang memberikan sinyal beradasarkan kombinasi 81 sinyal buy HQSahamIDX  pada 2021-03-23 10:32:20 untuk kelompok AGRI


*)LSIP terpenuhi 10 sinyal
*)SIMP terpenuhi 10 sinyal
BWPT terpenuhi 10 sinyal
DSNG terpenuhi 9 sinyal
SSMS terpenuhi 7 sinyal
*)MGRO terpenuhi 5 sinyal",10:38:26 AM,"Tuesday, March 23, 2021"
29,Benhan,SSMS payah nih ditinggal mulu,10:16:51 AM,"Tuesday, March 23, 2021"
30,Benhan,LPPF breakout,9:41:41 AM,"Tuesday, March 23, 2021"
31,Chai Lie,Hr ini cumdate bmri,9:19:11 AM,"Tuesday, March 23, 2021"
32,rigeladitya,"Coal yang belum break: ITMG, HRUM",9:13:12 AM,"Tuesday, March 23, 2021"
33,Erich,gali lobang tutup lobang yuks icbp,8:58:49 AM,"Tuesday, March 23, 2021"
34,wahyudi aja,Adro gap up,8:58:07 AM,"Tuesday, March 23, 2021"
35,Eru Yagami,Icbp opening 3%,8:57:47 AM,"Tuesday, March 23, 2021"
36,Ahmad Faruq Kholilul Bari,Pagi ini inco agii ipcc bgus mana bang?,8:47:02 AM,"Tuesday, March 23, 2021"
37,Avianto,ICBP bakal terbang nih hari ini...krn LK Q4 ini,8:17:05 AM,"Tuesday, March 23, 2021"
38,VIR136(VIVIE),"Good morning,

Stocks rise as tech rallies amid falling yields, Nasdaq closes more than 1% higher

U.S. stocks jumped on Monday led by technology shares as investors flocked back into growth names amid declining bond yields.

Dow.......32731  +103.2    +0.32%
Nasdaq.13378  +162.3    +1.23%
S&P 500..3941  +27.5      +0.70%
 
FTSE...... .6726  +17.39   +0.26%
Dax........14647  +36.2      +0.25%
CAC........5969    -29.5       -0.49%

Nikkei...29174     -617.9     -2.07%
HSI........28885    -105.6     -0.36%
Shanghai .3443  +38.8      +1.14%
ST Times..3135   -3.1         -0.10%

IDX.....6301.13   -55.03     -0.87%
LQ45.....944.28  -13.46     -1.41%

*JAKMIND...1042.08    -25.38    -2.38%*
JAKCONS....1735.98   -19.50    -1.11%
JAKTRADE...874.07    +18.55   +2.17%
JAKBIND.....1001.41   -4.55       -0.45%
JAKAGRI....1472.79    +11.71   +0.80%
JAKFIN.. ....1473.72     -23.07   -1.54%
JAKPROP......386.95     -4.65     -1.19%
JAKINFR...1059.64       -17.32   -1.61%
JAKMANU..1324.55     -14.12   -1.05%   
JAKMINE....1860.78   +5.78     +0.31%
 
Indo10Yr.6.9528    -0.0210     -0.30%
ICBI...306.6691     +0.2860    +0.09%
US10Yr....1.6840   -0.0480      -2.77%
*VIX............18.88  -2.07         -9.88%:+1:*
  
USDIndx .....91.7860  -0.1330   -0.14%
Como Indx...189.06   +0.27      +0.14%
(Core Commodity CRB)
BCOMIN..... .146.74  +0.97       +0.67%

*IndoCDS....86.474    +11.55    +15.416%*
 (5-yr INOCD5)  
 
*IDR.....14407.00   -0.50       -0.00%*
*Jisdor....14476     -20           -0.14%*


Euro.........1.1935  +0.0031  +0.26%

TLKM........23.79    +0.06       +0.25%
(3443)
EIDO..........23.08    -0.27        -1.16%
EEM...........53.92    -0.16        -0.30%

Oil.............61.55      +0.13      +0.21%
Gold ......1740.40    -3.50        -0.20%
*Timah...25850.00 +420.00  +1.65%*
*Nickel...16450.00 +187.50  +1.15%*
 
*Coal price...94.00   +1.25       +1.35%*
(Mar/Newcastle) 
*Coal price....98.40  +4.60       +4.90%:bangbang:*
(Apr/Newcastle)
Coal price.....68.50  +0.05       +0.07%
(Mar/Rotterdam) 
*Coal price. .70.60  +2.35        +3.44%:bangbang:*
(Apr/ Rotterdam)
 
*CPO(Jun)....3837   +117      +3.15%:bangbang:*
(Source: bursamalaysia.com)             
Corn...........549.00   -8.75     -1.57%
SoybeanOil...56.37 +2.50    +4.64%
Wheat....... 627.25  +0.25    +0.04%

Wood pulp.5850.00   unch   +0%

( *DE*/ *Phintraco(AT)*  23-03-21)
    
*****",6:27:19 AM,"Tuesday, March 23, 2021"
39,William Limanto,"Permisi, Untuk liat tren saham
 Kan Klo komoditas tidak sebagai bahan baku, itu komoditas naik, saham naik, konsumen turun
Cthe nikel naik sm antm naik
Sedangkan
Klo komoditas sbg bahan baku, itu komoditas naik, saham turun lalu konsumennya gmn? Apakah  naik?, thank you",11:54:51 PM,"Monday, March 22, 2021"
40,Hendro Masori,Ok,10:10:39 PM,"Monday, March 22, 2021"
41,Hendro Masori,Udahlah jangan coba2 buat membual disini,10:08:50 PM,"Monday, March 22, 2021"
42,Hendro Masori,Masaaaaa,10:07:31 PM,"Monday, March 22, 2021"
43,Hendro Masori,:joy::joy::joy::joy:,10:06:59 PM,"Monday, March 22, 2021"
44,Hendro Masori,Intel saya gak ada duanya,10:06:30 PM,"Monday, March 22, 2021"
45,Hendro Masori,Kepalsuan bisa diungkap cepat,10:05:55 PM,"Monday, March 22, 2021"
46,Hendro Masori,Jejak digital memang berat,10:05:26 PM,"Monday, March 22, 2021"
47,Hendro Masori,Lha ya itu namanya takut Pak. Hihihi,9:58:55 PM,"Monday, March 22, 2021"
48,Hendro Masori,Demi refreshing ke Bali sih kalau saya rela hidung saya diobok obok,9:56:47 PM,"Monday, March 22, 2021"
