,judul,link,isi
0,"IHSG merosot, saham-saham ini banyak diobral asing pada perdagangan Senin (8/3)",https://investasi.kontan.co.id/news/ihsg-merosot-saham-saham-ini-banyak-diobral-asing-pada-perdagangan-senin-83,"KONTAN.CO.ID -  JAKARTA. Indeks Harga Saham Gabungan (IHSG) ditutup di zona merah pada perdagangan awal pekan. Mengutip data RTI, Senin (8/3), IHSG merosot 0,16% atau 10,28 poin ke level 6.248,46 pada akhir perdagangan. IHSG paling tertekan dari penurunan sektor tambang, barang-barang konsumsi, keuangan dan manufaktur. Masing-masing sektor itu turun 2,70%, 0,52%, 0,43% dan 0,05%.  Sementara itu, sektor perkebunan, infrastruktur, perdagangan dan aneka industri menguat masing-masing 2,11%, 0,73%, 0,68% dan 0,57%. Total volume perdagangan di Bursa Efek Indonesia (BEI) mencapai 25,80 miliar saham dengan nilai transaksi Rp 10,58 triliun. Sebanyak 255 saham turun, 220 saham menguat dan 159 saham nilainya tidak berubah. Investor asing membukukan net sell sebesar Rp 469,40 miliar di seluruh pasar. Saham yang paling banyak dilego asing adalah PT Bank Central Asia Tbk (BBCA) Rp 307,9 miliar. Saham BBCA ditutup melemah 1,18% ke RP 33.600 per saham. Total volume perdagangan saham BBCA mencapai 18,1 juta dengan nilai transaksi Rp 614,7 miliar. Asing juga melepas saham PT Bank Mandiri Tbk (BMRI) Rp 61,5 miliar. Saham BMRI juga ditutup melemah 0,77% ke Rp 6.425 per saham. Total volume perdagangan saham BMRI mencapai 38,3 juta dengan nilai transaksi Rp 249,2 miliar. Saham PT Vale Indonesia Tbk (INCO) juga dilego asing sebesar Rp 60,2 miliar. Saham INCO anjlok 6,21% ke Rp 4.830 per saham. Total volume perdagangan saham INCO mencapai 78,4 miliar dengan nilai transaksi Rp 386,9 miliar. Berikut 10 saham net sell terbesar asing pada hari Senin: "
1,Ramainya investor ritel di balik lonjakan saham-saham bank kecil,https://investasi.kontan.co.id/news/ramainya-investor-ritel-di-balik-lonjakan-saham-saham-bank-kecil,"KONTAN.CO.ID - JAKARTA. Dalam beberapa waktu terakhir, laju saham-saham emiten bank kecil kompak melesat tinggi. Misalnya saja PT Bank Net Indonesia Syariah Tbk (BANK), PT Bank Bumi Arta Tbk (BNBA), PT Bank Neo Commerce Tbk (BBYB), PT Bank Jago Tbk (ARTO), dan PT Bank Ganesha Tbk (BGTG). Bahkan, kini ARTO memiliki kapitalisasi pasar atau market capitalization (market cap) lebih dari Rp 100 triliun. Market cap tersebut lebih tinggi ketimbang raksasa consumer goods Asia PT Indofood Sukses Makmur Tbk (INDF) yang sebesar Rp 54 triliun. Kepala Riset Kiwoom Sekuritas Indonesia Ike Widiawati menjelaskan, dari segi fundamental memang saham-saham mini masih belum terlalu kuat. Sementara dari segi valuasi, saham ARTO contohnya sudah tergolong mahal dan jauh dari harga wajarnya. Ike bilang, meskipun ekspektasi terhadap ARTO cukup besar, investor perlu lebih realistis dan memperhatikan risiko. Pengamat pasar modal sekaligus Direktur Avere Investama Teguh Hidayat mengungkapkan, fenomena melejitnya saham-saham ini tak lepas dari ramainya investor ritel yang memburu saham-saham tersebut. Seperti diketahui semenjak pandemi Covid-19 investor ritel di Indonesia terus meningkat. Dalam catatan Kontan.co.id, peningkatan jumlah investor di pasar modal terus berlanjut pada awal tahun ini. Per 22 Februari 2021, total investor pasar modal (saham, surat utang, reksadana) mencapai 4,4 juta dengan investor saham sebanyak 2,01 juta.Jumlah investor pasar modal dan saham tersebut masing-masing bertambah 13% dan 18% dibanding posisi akhir 2020 yang sebanyak 3,88 juta dan 1,7 juta. Teguh melanjutkan, sekitar sepertiga dari jumlah investor pasar modal Indonesia belum memiliki pengalaman setidaknya satu tahun. ""Yang perlu digarisbawahi adalah penambahan investor baru tersebut, dengan pengalaman kurang dari satu tahun, mereka belum mengerti betul terkait kondisi keuangan, fundamental, dan terkait valuasinya. Jadi apa yang lagi ramai, itu yang mereka beli,” kata Teguh, Senin (8/3). Dia menyarankan agar pelaku pasar atau investor pemula lebih cermat sebelum memutuskan untuk membeli saham dengan membaca terkait laporan keuangan dan informasi resmi dari emiten. Teguh juga mengingatkan investor untuk tetap realistis dan tidak mudah tergiring oleh pemberitaan yang tengah ramai diperbincangkan. Lebih lanjut, Teguh melihat fenomena ini merupakan hal yang normal. Menurut dia, Bursa Efek Indonesia masih sangat layak menjadi tempat investasi. Seiring dengan berjalannya waktu, nantinya investor pemula ini akan menjalani proses seleksi alam dan nantinya mereka bakal menjadi pelaku pasar yang lebih berpengalaman. Hanya saja, dia menyebut sekarang ini Bursa Efek Indonesia terlalu mengejar target bertambahnya emiten-emiten anyar. “Saking mendorongnya perusahaan untuk IPO, perusahaan jadi tidak terseleksi dengan baik, kualitasnya turun,” tambah Teguh. Memang, jika dilihat sampai Senin (8/3) jumlah perusahaan di BEI tercatat lebih dari 700 emiten atau melesat dari posisi akhir tahun 2015 yang sejumlah 525 perusahaan. Selain itu, sambungnya, Bursa Efek Indonesia juga bisa menggalakkan edukasi secara resmi untuk pelaku pasar pemula. "
2,"Harga emas turun, ini yang perlu dilakukan",https://investasi.kontan.co.id/news/harga-emas-turun-ini-yang-perlu-dilakukan,"KONTAN.CO.ID -  JAKARTA. Pada awal tahun 2021, beberapa aset investasi mengalami pergolakan, seperti aset investasi Obligasi Negara, emas spot dan emas Antam yang mengalami penurunan. Sedangkan, pada aset investasi saham, Obligasi Korporasi, dan nilai tukar dolar AS mengalami peningkatan.  Emas saat ini menjadi sorotan utama, dikarenakan selisih harga beli dan harga jual yang semakin melebar. Harga buyback oleh Logam Mulia pada Minggu (7/3), mencapai Rp785.000 per gram, dan harga jual Rp 923.000 per gram. Dengan demikian, selisihnya adalah Rp 138.000 per gram. Menurut Nanang Wahyudin dari Research & Education Coordinator Valbury Asia Futures, ini diakibatkan oleh tingkat volatilitas pasar semakin besar, ataupun berkurangnya likuiditas di pasar. ""Jadi dengan kondisi yang terjadi saat ini, volatilitas cukup besar reaksi pasar juga cukup besar, yang mengakibatkan spread ataupun jarak semakin jauh,"" ujar Nanang kepada Kontan. Harga emas antam saat ini adalah cerminan dari harga emas spot, merujuk Bloomberg harga emas spot mengalami penurunan sebesar 8,6% sejak akhir tahun.  Selanjutnya, pada aset investasi Obligasi Negara (Indobex Government Bond) mengalami penurunan sebesar 2,16% pada dua bulan awal tahun ini. Sedangkan, pada Obligasi Korporasi (indobex Corporate Bond) bergerak positif, yakni 0.62%.  Selain itu, investasi saham saat ini sedang mengalami kenaikan yang cukup besar dan diprediksi akan terus berlangsung.  Menurut Analis Central Capital Futures, Wahyu Laksono, aset saham ini mengikuti tren global, di mana komoditas, crypto, dan yields sedang mengalami kenaikan. ""IHSG wajar ikutan saham global naik,"" kata Wahyu. Pada investasi aset mata uang, merujuk Bloomberg pada 26 Februari, USD/IDR naik sebesar 1,32%, kenaikan ini bersamaan dengan beberapa valas (valuta asing) lainnya seperti GBP/IDR naik 3,48%, AUD/IDR naik 3,10%, dan EUR/IDR naik 0,15%. Menurut Nanang saat ini adalah saat yang tepat dalam investasi emas, karena harga yang terbilang rendah. ""Emas saat ini menjadi momentum untuk dimiliki ketika terjadi penurunan lebih dari 200 dolar khususnya untuk spot emas untuk melakukan buyback. Begitu juga dengan emas antam yang dapat dijadikan koleksi investasi,"" kata Nanang. Ia juga memprediksi harga emas spot akan kembali menapaki area 1900, bahkan 2000 di akhir tahun ini.    "
3,"Ramayana Lestari Sentosa (RALS) berencana buyback, simak tanggapan analis",https://investasi.kontan.co.id/news/ramayana-lestari-sentosa-rals-berencana-buyback-simak-tanggapan-analis,"KONTAN.CO.ID - JAKARTA. Emiten ritel PT Ramayana Lestari Sentosa Tbk (RALS) berencana menggelar pembelian kembali (buyback) saham. Menurut riset RHB Sekuritas, untuk melancarkan aksi buyback RALS akan menggelar Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) pada 14 April 2021.  Dalam riset yang diterima Kontan.co.id, Senin (8/3), periode buyback akan berlangsung selama 18 bulan setelah mengantongi persetujuan dalam RUPSLB atau hingga Oktober 2022. RALS sebanyak-banyaknya akan buyback hingga 353,8 juta saham dengan dana maksimum Rp 350 miliar.  Analis RHB Sekuritas Vanessa Karmajaya dan Michael Setjoadi berpendapat, aksi ini dapat berdampak positif untuk mengerek harga saham dan memberikan keamanan bagi investor. Oleh karenanya, hal ini dapat meningkatkan nilai saham bagi para pemegang saham.  ""Belanja besar-besaran saat Lebaran bisa jadi katalis jangka pendek bagi RALS. Meskipun demikian, kami mempertahankan rekomendasi netral kami,"" ujar Vannessa dan Michael dalam risetnya, Senin (8/3).  Lebih lanjut dijelaskan, daya beli yang kurang baik di segmen menengah ke bawah masih akan memberatkan pemulihan RALS. RHB Sekuritas mematok target harga Rp 710 untuk saham RALS.  Adapun Analis Ciptadana Sekuritas Robert Sebastian mengamati,  buyback RALS dapat memicu kenaikan harga saham dalam jangka pendek saja. Menurut Robert, aksi buyback menunjukkan kepercayaan diri manajemen terhadap harga saham RALS.  Kendati demikian, Robert masih mengkhawatirkan adanya pembatasan-pembatasan pada saat momentum Lebaran. Oleh karenanya, bukan tidak mungkin pertumbuhan penjualan RALS akan terhambat. "
4,"Rupiah melemah 0,42%, seluruh mata uang di Asia terseret keperkasaan dolar AS",https://investasi.kontan.co.id/news/rupiah-melemah-042-seluruh-mata-uang-di-asia-terseret-keperkasaan-dolar-as,"KONTAN.CO.ID - JAKARTA. Indeks dolar Amerika Serikat (AS) yang tampil perkasa menyeret pergerakan mata uang di Asia. Mengutip Bloomberg, Senin (8/3) pukul 15.00 WIB, indeks dolar AS berada di level 92,18, tertinggi sejak 24 November. Alhasil, seluruh mata uang di Asia pun bergerak melemah. Di mana, dolar Taiwan menjadi mata uang dengan pelemahan terdalam di Asia setelah turun 0,90%. Disusul, baht Thailand yang melemah 0,69% terhadap the greenback. Selanjutnya, won Korea Selatan yang ditutup koreksi 0,64% dan ringgit Malaysia ambles 0,51%. Diikuti, rupiah yang ditutup melemah 0,42% ke Rp 14.360 per dolar AS pada perdagangan kali ini. Berikutnya, yuan China yang tertekan 0,41% serta dolar Singapura yang koreksi 0,39%. Kemudian ada rupee India dan yen Jepang yang sama-sama terdepresiasi 0,17% terhadap dolar AS. Sedangkan dolar Hong Kong terlihat turun 0,05% dan peso Filipina melemah tipis 0,01% pada perdagangan hari ini.      "
5,Reksadana pasar uang jadi reksadana dengan kinerja paling moncer di pekan lalu,https://investasi.kontan.co.id/news/reksadana-pasar-uang-jadi-reksadana-dengan-kinerja-paling-moncer-di-pekan-lalu,"KONTAN.CO.ID - JAKARTA. Kinerja Indeks Harga Saham Gabungan (IHSG) masih menjaga tren positif dengan kembali ditutup di zona hijau dalam seminggu terakhir. IHSG tercatat mengalami kenaikan kinerja sebesar 0,27% dalam sepekan lalu. Tak hanya pasar saham, pasar obligasi juga mencatatkan kinerja positif setelah Indeks Infovesta Government Bond tumbuh sebesar 0.05% dan Indeks Infovesta Corporate Bond tumbuh sebesar 0.14%. Namun, kinerja positif IHSG rupanya tidak lantas membuat kinerja reksadana berbasis saham ikut berkinerja positif. Berdasarkan dari laporan Infovesta Utama yang dikeluarkan, Senin (8/3), tercatat reksadana saham justru turun 0,92% dan reksadana campuran koreksi 0,17% Tak hanya reksadana berbasis saham, reksadana pendapatan tetap rupanya juga tak mampu mengekor kinerja indeksnya. Tercatat, reksadana ini bergerak flat 0,0%. Praktis, ini menjadikan reksadana pasar uang dengan kinerja paling baik dalam sepekan kemarin, setelah berhasil tumbuh 0,08%. Berikut masing-masing reksadana yang memiliki return tertinggi secara year to date hingga 5 Maret 2021,    "
6,TanamDuit optimistis IHSG bisa ke level 7.000 pada akhir tahun 2021,https://investasi.kontan.co.id/news/tanamduit-optimistis-ihsg-bisa-ke-level-7000-pada-akhir-tahun-2021,"KONTAN.CO.ID - JAKARTA. Tahun 2021 diprediksi menjadi tahun keemasan bagi aset berisiko. Pemulihan ekonomi global akan menjadi motor utama yang akan mendorong kinerja aset berisiko seperti saham. Bahkan, tidak menutup kemungkinan, IHSG bisa menyentuh level all time high-nya, yakni 7.000 pada akhir tahun nanti. Chief Economist TanamDuit Ferry Latuhihin optimistis saat ini kondisi pemulihan ekonomi sudah mulai berjalan sesuai harapan. Ia meyakini, badai pasti berlalu dan tercermin dari ekonomi di berbagai negara yang perlahan namun pasti mulai pulih. Aktivitas ekonomi pun sudah mulai bergerak kembali seiring kebijakan lockdown semakin longgar Kendati demikian, Ferry tak menampik, saat ini dalam jangka pendek volatilitas memang sedang meningkat. Menurutnya, ada dua hal yang memicu volatilitas kali ini. “Pertama, kenaikan yield US Treasury dalam beberapa waktu terakhir memang membuat market sedikit khawatir. Ditambah lagi, harga minyak dunia sedang dalam tren bergerak menuju US$ 70 per barel, sementara OPEC dan Amerika Serikat terlihat belum akan memperbanyak suplai,” kata Ferry dalam paparan market outlook, Senin (8/3). Kenaikan harga minyak memang berpotensi menimbulkan kekhawatiran mengingat bisa memicu kenaikan biaya produksi, yang pada akhirnya dapat ikut mengerek kenaikan harga barang. Jika benar-benar terjadi, maka kenaikan angka inflasi pun bisa terjadi. Walau demikian, Ferry menegaskan investor tidak perlu merasa khawatir dengan volatilitas pasar saat ini. Menurutnya, dalam jangka pendek memang ada kecenderungan pelaku pasar bereaksi secara berlebihan. Namun, bagi investor dengan time horizon jangka panjang, kondisi saat ini tidak akan berlangsung secara berkelanjutan. “Pemulihan ekonomi AS dan berbagai kebijakan stimulus fiskal dan moneternya belum akan memicu kenaikan inflasi pada tahun ini, kemungkinan baru akan terjadi pada akhir tahun 2022 mendatang. Jadi potensi capital outflow memang ada, tapi potensi untuk capital inflow juga masih terbuka,” imbuh Ferry. Apalagi, dengan rupiah yang relatif lebih stabil pada tahun ini dibanding tahun lalu. Ferry menilai hal tersebut akan mampu menarik minat investor asing, ditambah lagi dengan yield Indonesia yang terhitung masih menarik saat ini.  Senada, Chief Executive Officer Sucor Asset Management Jemmy Paul Wawointana juga berpandangan serupa. Menurutnya, bottoming pertumbuhan ekonomi sudah terjadi pada tahun lalu. Sementara saat ini sudah masuk ke siklus pemulihan.  “Investasi kan memang untuk jangka panjang, jadi jangan karena ada kegaduhan di pasar , apalagi isunya relatif kecil, lalu buru-buru cut loss. Ketika market rebound, justru akan terlambat untuk buyback. Jadi harus ingat, investasi itu berfokus sesuai dengan time horizon dan tujuan investasinya,” Jemmny menambahkan. Jemmy cukup optimistis pasar saham masih akan memiliki outlook yang positif. Pandangan bullish-nya, IHSG akan berada di kisaran 6.800 - 7.000.       "
7,"IHSG turun 0,16% ke 6.248 di akhir perdagangan Senin (8/3)",https://investasi.kontan.co.id/news/ihsg-turun-016-ke-6248-di-akhir-perdagangan-senin-83,"KONTAN.CO.ID - JAKARTA. Indeks Harga Saham Gabungan (IHSG) turun di awal pekan ini. Senin (8/3), IHSG turun 0,16% atau 10,28 poin ke 6.248,46 pada akhir perdagangan di Bursa Efek Indonesia (BEI). Meski IHSG turun, hanya empat sektor yang tergerus hingga tutup pasar. Sektor tambang mencatat penurunan paling dalam, yakni 2,59%. Sektor barang konsumsi turun 0,52%. Sektor keuangan turun 0,43%. Sektor manufaktur melemah tipis 0,05%. Sektor perkebunan justru melesat 2,11%. Sektor infrastruktur naik 0,73%. Sektor perdagangan dan jasa menguat 0,68%. Sektor aneka industri naik 0,57%. Sektor industri dasar naik 0,31%. Sektor konstruksi dan properti naik 0,21%. Total volume transaksi bursa mencapai 25,81 miliar saham dengan nilai transaksi Rp 10,85 triliun. Sebanyak 255 saham turun harga. Ada 220 saham yang menguat dan 159 saham flat. Top losers LQ45 hari ini adalah:  Top gainers LQ45 terdiri dari:  Investor asing mencatat penjualan bersih Rp 469,63 miliar di seluruh pasar. Saham-saham dengan penjualan bersih (net buy) terbesar asing adalah PT Bank Central Asia Tbk (BBCA) Rp 307,9 miliar, PT Bank Mandiri Tbk (BMRI) Rp 61,5 miliar, dan PT Vale Indonesia Tbk (INCO) Rp 60,2 miliar. Sedangkan saham-saham dengan pembelian bersih (net sell) terbesar asing adalah PT United Tractors Tbk (UNTR) Rp 112,4 miliar, PT Bank Rakyat Indonesia Tbk (BBRI) Rp 45,6 miliar, dan PT Telkom Indonesia (TLKM) Rp 38,5 miliar. "
8,"Tak bertenaga, rupiah ditutup melemah ke Rp 14.360 per dolar AS pada hari ini (8/3)",https://investasi.kontan.co.id/news/tak-bertenaga-rupiah-ditutup-melemah-ke-rp-14360-per-dolar-as-pada-hari-ini-83,"KONTAN.CO.ID - JAKARTA. Nilai tukar rupiah di pasar spot tak mampu keluar dari tekanan hingga akhir perdagangan hari ini. Senin (8/3), rupiah spot ditutup di level Rp 14.360 per dolar Amerika Serikat (AS). Ini membuat rupiah melemah 0,42% dibandingkan dengan penutupan Jumat (5/3) di Rp 14.300 per dolar AS. Pergerakan rupiah ini sejalan dengan semua mata uang di kawasan. Hingga pukul 15.00 WIB, dolar Taiwan menjadi mata uang dengan pelemahan terdalam di Asia setelah turun 0,90%. Disusul, baht Thailand yang melemah 0,69% terhadap the greenback. Selanjutnya, won Korea Selatan yang ditutup koreksi 0,64% dan ringgit Malaysia ambles 0,51%. Diikuti, yuan China yang tertekan 0,41% pada perdagangan jelang sore ini. Berikutnya, dolar Singapura yang koreksi 0,39%. Kemudian ada rupee India dan yen Jepang yang sama-sama terdepresiasi 0,17% terhadap dolar AS. Sedangkan dolar Hong Kong terlihat turun 0,05% dan peso Filipina melemah tipis 0,01% pada perdagangan hari ini.      "
9,"Arwana Citramulia (ARNA) bakal tebar dividen Rp 217,67 miliar dari laba tahun 2020",https://investasi.kontan.co.id/news/arwana-citramulia-arna-bakal-tebar-dividen-rp-21767-miliar-dari-laba-tahun-2020,"KONTAN.CO.ID - JAKARTA. PT Arwana Citramulia Tbk (ARNA) akan menebar dividen Rp 217,67 miliar dari laba bersih tahun buku 2020. Keputusan diambil dalam Rapat Umum Pemegang Saham Tahunan (RUPST) yang diselenggarakan pada 8 Maret 2021.  Pada tahun buku 2020, ARNA membukukan laba bersih Rp 323,01 miliar dari hasil penjualan yang mencapai Rp 2,21 triliun. Pencapaian laba bersih Arwana tumbuh hingga 49,87% yoy, sementara penjualan naik 2,79% yoy di tahun lalu.  CFO ARNA, Rudy Sujanto menjelaskan hasil laba bersih ini dapat dicapai berkat margin yang meningkat dari 10,02% menjadi 14,6% karena ditopang oleh sejumlah faktor.  ""Sejumlah faktor tersebut adalah pemakaian bahan baku dan energi yang lebih efisien, strategi product mix yang mampu memperbaiki harga jual rata-rata, peningkatan jumlah pelanggan, serta kebijakan penurunan harga gas bagi industri keramik dari pemerintah,"" jelasnya dalam paparan publik secara virtual, Senin (8/3).  Rudy mengatakan, adapun hasil RUPST Arwana Citramulia hari ini (8/3) memutuskan akan membagikan dividen tunai senilai Rp 30 per lembar saham atau setara Rp 217,67 miliar. Dividen ini sekitar 67% dari total laba bersih yang diraih ARNA sepanjang tahun lalu. ""Hal ini dilakukan sebagai wujud komitmen untuk memberikan imbal hasil yang baik atas investasi yang dipercayakan para pemegang saham,"" kata Rudy.     "
