,User,Pesan,Jam,Tanggal
0,Listyo Ariadi,"Maaf voice nya ke mute, dengerin pak dr sampe ketiduran:pray::pray:
",3:44:55 AM,Saturday March 27 2021
1,Meneer Greg,"Membalas : Audio
Amazing ...:+1::+1:
",3:16:05 AM,Saturday March 27 2021
2,HAS,"Membalas : Audio
Mtrnuwun Pakde dan para suhu TT atas sharing dan motivasinya :pray:🥰
",2:41:51 AM,Saturday March 27 2021
3,Isal,"Membalas : Audio
Makasih pakde rekamannya, tadi gak sempet join:pensive:",2:40:53 AM,Saturday March 27 2021
4,HAS,"Membalas : bubar ah :runner::runner:
:smile:🤭",2:39:59 AM,Saturday March 27 2021
5,46 (･ิω･ิ) (Selvia Susilowati),"Membalas : Saya ingin sharing mudah2 an newbie angkatan Corona tidak perlu melewati jalan yg saya lalui.
Aamiin 
Terima kasih banyak pakde dn juga untuk budhe
",1:58:56 AM,Saturday March 27 2021
6,Satimin Sejati,"Membalas : terencana :+1:
Karena pemahaman saya keberhasilannya pada pernecanaan yang matang dan disiplin.",1:52:22 AM,Saturday March 27 2021
7,DiVeN Lee,Biasa pak carik aja yg online jam segini :sweat_smile:,1:52:10 AM,Saturday March 27 2021
8,hery,"Membalas : Trading Forex hanya 1 tahun full. Habis itu stop. Baru masuk lagi trading (di saham) tahun lalu. Dg pembagian 1 RDN Invest 1 R
terencana :+1:
Membalas : Tumben rame jam segini
bubar ah :runner::runner:",1:51:09 AM,Saturday March 27 2021
9,DiVeN Lee,Tumben rame jam segini,1:50:26 AM,Saturday March 27 2021
10,Satimin Sejati,"Membalas : setelah trading 14 tahun. atau 14 tahun stop trading forex nya?
Trading Forex hanya 1 tahun full. Habis itu stop.

Baru masuk lagi trading (di saham) tahun lalu.

Dg pembagian 1 RDN Invest
1 RDN swing
1 RDN trading harian.

Jadi ada 3 RDN.",1:49:30 AM,Saturday March 27 2021
11,hery,setelah trading 14 tahun. atau 14 tahun stop trading forex nya?,1:47:45 AM,Saturday March 27 2021
